TOP.680f5d17.000cbd03	START
TOP.680f5d51.0008dd2a	hashes->hashfile	hello.txt
TOP.680f5d51.0008dd2a	hashes->hashlist_mode	5
TOP.680f5d51.0008dd2a	hashes->hashlist_format	0
TOP.680f5d51.0008dd2a	hashes->hashes_cnt	0
TOP.680f5d51.0008dd2a	hashes->digests_cnt	5
TOP.680f5d51.0008dd2a	hashes->digests_done_pot	0
TOP.680f5d51.0008dd2a	hashes->digests_done_zero	0
TOP.680f5d51.0008dd2a	hashes->digests_done	0
TOP.680f5d51.0008dd2a	hashes->salts_cnt	1
TOP.680f5d51.0008dd2a	hashes->salts_done	0
TOP.680f5d51.0008dd2a	SUB.680f5d62.000e74fe	START
TOP.680f5d51.0008dd2a	SUB.680f5d62.000e74fe	runtime_start	1745837411
TOP.680f5d51.0008dd2a	SUB.680f5d62.000e74fe	runtime_stop	1745837536
TOP.680f5d51.0008dd2a	SUB.680f5d62.000e74fe	hashes->digests_done_new	0
TOP.680f5d51.0008dd2a	SUB.680f5d62.000e74fe	status-after-work	7
TOP.680f5d51.0008dd2a	SUB.680f5d62.000e74fe	STOP
TOP.680f5d51.0008dd2a	proc_start	1745837393
TOP.680f5d51.0008dd2a	proc_stop	1745837536
TOP.680f5d51.0008dd2a	STOP
TOP.680f5e16.000d221e	START
TOP.680f5e16.000d221e	folder_config->cwd	H:\TY labs\CCSLab\Pract7\hashcat-6.2.6
TOP.680f5e16.000d221e	folder_config->install_dir	.
TOP.680f5e16.000d221e	folder_config->profile_dir	.
TOP.680f5e16.000d221e	folder_config->session_dir	.
TOP.680f5e16.000d221e	folder_config->shared_dir	.
TOP.680f5e16.000d221e	user_options->encoding_from	utf-8
TOP.680f5e16.000d221e	user_options->encoding_to	utf-8
TOP.680f5e16.000d221e	user_options->rule_buf_l	:
TOP.680f5e16.000d221e	user_options->rule_buf_r	:
TOP.680f5e16.000d221e	user_options->session	hashcat
TOP.680f5e16.000d221e	user_options->separator	:
TOP.680f5e16.000d221e	user_options->limit	0
TOP.680f5e16.000d221e	user_options->skip	0
TOP.680f5e16.000d221e	user_options->attack_mode	0
TOP.680f5e16.000d221e	user_options->benchmark	0
TOP.680f5e16.000d221e	user_options->benchmark_all	0
TOP.680f5e16.000d221e	user_options->bitmap_max	18
TOP.680f5e16.000d221e	user_options->bitmap_min	16
TOP.680f5e16.000d221e	user_options->debug_mode	0
TOP.680f5e16.000d221e	user_options->hash_info	0
TOP.680f5e16.000d221e	user_options->force	0
TOP.680f5e16.000d221e	user_options->hwmon_disable	0
TOP.680f5e16.000d221e	user_options->hwmon_temp_abort	90
TOP.680f5e16.000d221e	user_options->hash_mode	0
TOP.680f5e16.000d221e	user_options->hex_charset	0
TOP.680f5e16.000d221e	user_options->hex_salt	0
TOP.680f5e16.000d221e	user_options->hex_wordlist	0
TOP.680f5e16.000d221e	user_options->hook_threads	4
TOP.680f5e16.000d221e	user_options->identify	0
TOP.680f5e16.000d221e	user_options->increment	0
TOP.680f5e16.000d221e	user_options->increment_max	256
TOP.680f5e16.000d221e	user_options->increment_min	1
TOP.680f5e16.000d221e	user_options->keep_guessing	0
TOP.680f5e16.000d221e	user_options->kernel_accel	0
TOP.680f5e16.000d221e	user_options->kernel_loops	0
TOP.680f5e16.000d221e	user_options->kernel_threads	0
TOP.680f5e16.000d221e	user_options->keyspace	0
TOP.680f5e16.000d221e	user_options->left	0
TOP.680f5e16.000d221e	user_options->logfile_disable	0
TOP.680f5e16.000d221e	user_options->loopback	0
TOP.680f5e16.000d221e	user_options->machine_readable	0
TOP.680f5e16.000d221e	user_options->markov_classic	0
TOP.680f5e16.000d221e	user_options->markov_disable	0
TOP.680f5e16.000d221e	user_options->markov_inverse	0
TOP.680f5e16.000d221e	user_options->markov_threshold	256
TOP.680f5e16.000d221e	user_options->multiply_accel_disable	0
TOP.680f5e16.000d221e	user_options->backend_info	0
TOP.680f5e16.000d221e	user_options->backend_vector_width	0
TOP.680f5e16.000d221e	user_options->optimized_kernel_enable	0
TOP.680f5e16.000d221e	user_options->outfile_autohex	1
TOP.680f5e16.000d221e	user_options->outfile_check_timer	5
TOP.680f5e16.000d221e	user_options->outfile_format	3
TOP.680f5e16.000d221e	user_options->wordlist_autohex_disable	0
TOP.680f5e16.000d221e	user_options->potfile_disable	0
TOP.680f5e16.000d221e	user_options->progress_only	0
TOP.680f5e16.000d221e	user_options->quiet	0
TOP.680f5e16.000d221e	user_options->remove	0
TOP.680f5e16.000d221e	user_options->remove_timer	60
TOP.680f5e16.000d221e	user_options->restore	0
TOP.680f5e16.000d221e	user_options->restore_disable	0
TOP.680f5e16.000d221e	user_options->restore_timer	1
TOP.680f5e16.000d221e	user_options->rp_files_cnt	0
TOP.680f5e16.000d221e	user_options->rp_gen	0
TOP.680f5e16.000d221e	user_options->rp_gen_func_max	4
TOP.680f5e16.000d221e	user_options->rp_gen_func_min	1
TOP.680f5e16.000d221e	user_options->rp_gen_seed	0
TOP.680f5e16.000d221e	user_options->runtime	0
TOP.680f5e16.000d221e	user_options->scrypt_tmto	0
TOP.680f5e16.000d221e	user_options->segment_size	33554432
TOP.680f5e16.000d221e	user_options->self_test_disable	0
TOP.680f5e16.000d221e	user_options->slow_candidates	0
TOP.680f5e16.000d221e	user_options->show	0
TOP.680f5e16.000d221e	user_options->speed_only	0
TOP.680f5e16.000d221e	user_options->spin_damp	0
TOP.680f5e16.000d221e	user_options->status	1
TOP.680f5e16.000d221e	user_options->status_json	0
TOP.680f5e16.000d221e	user_options->status_timer	10
TOP.680f5e16.000d221e	user_options->stdout_flag	0
TOP.680f5e16.000d221e	user_options->usage	0
TOP.680f5e16.000d221e	user_options->username	0
TOP.680f5e16.000d221e	user_options->veracrypt_pim_start	485
TOP.680f5e16.000d221e	user_options->veracrypt_pim_stop	485
TOP.680f5e16.000d221e	user_options->version	0
TOP.680f5e16.000d221e	user_options->workload_profile	2
TOP.680f5e16.000d221e	user_options->brain_client	0
TOP.680f5e16.000d221e	user_options->brain_client_features	2
TOP.680f5e16.000d221e	user_options->brain_server	0
TOP.680f5e16.000d221e	user_options->brain_server_timer	300
TOP.680f5e16.000d221e	user_options->brain_port	6863
TOP.680f5e16.000d221e	user_options->brain_session	0
TOP.680f5e16.000d221e	hashes->hashfile	hello.txt
TOP.680f5e16.000d221e	hashes->hashlist_mode	5
TOP.680f5e16.000d221e	hashes->hashlist_format	0
TOP.680f5e16.000d221e	hashes->hashes_cnt	0
TOP.680f5e16.000d221e	hashes->digests_cnt	1
TOP.680f5e16.000d221e	hashes->digests_done_pot	0
TOP.680f5e16.000d221e	hashes->digests_done_zero	0
TOP.680f5e16.000d221e	hashes->digests_done	0
TOP.680f5e16.000d221e	hashes->salts_cnt	1
TOP.680f5e16.000d221e	hashes->salts_done	0
TOP.680f5e16.000d221e	SUB.680f5e19.00007f22	START
TOP.680f5e16.000d221e	SUB.680f5e19.00007f22	runtime_start	1745837593
TOP.680f5e16.000d221e	SUB.680f5e19.00007f22	runtime_stop	1745837718
TOP.680f5e16.000d221e	SUB.680f5e19.00007f22	hashes->digests_done_new	0
TOP.680f5e16.000d221e	SUB.680f5e19.00007f22	status-after-work	7
TOP.680f5e16.000d221e	SUB.680f5e19.00007f22	STOP
TOP.680f5e16.000d221e	proc_start	1745837590
TOP.680f5e16.000d221e	proc_stop	1745837718
TOP.680f5e16.000d221e	STOP
TOP.680f5ed6.0008674a	START
TOP.680f5ed6.0008674a	folder_config->cwd	H:\TY labs\CCSLab\Pract7\hashcat-6.2.6
TOP.680f5ed6.0008674a	folder_config->install_dir	.
TOP.680f5ed6.0008674a	folder_config->profile_dir	.
TOP.680f5ed6.0008674a	folder_config->session_dir	.
TOP.680f5ed6.0008674a	folder_config->shared_dir	.
TOP.680f5ed6.0008674a	user_options->encoding_from	utf-8
TOP.680f5ed6.0008674a	user_options->encoding_to	utf-8
TOP.680f5ed6.0008674a	user_options->rule_buf_l	:
TOP.680f5ed6.0008674a	user_options->rule_buf_r	:
TOP.680f5ed6.0008674a	user_options->session	hashcat
TOP.680f5ed6.0008674a	user_options->separator	:
TOP.680f5ed6.0008674a	user_options->limit	0
TOP.680f5ed6.0008674a	user_options->skip	0
TOP.680f5ed6.0008674a	user_options->attack_mode	0
TOP.680f5ed6.0008674a	user_options->benchmark	0
TOP.680f5ed6.0008674a	user_options->benchmark_all	0
TOP.680f5ed6.0008674a	user_options->bitmap_max	18
TOP.680f5ed6.0008674a	user_options->bitmap_min	16
TOP.680f5ed6.0008674a	user_options->debug_mode	0
TOP.680f5ed6.0008674a	user_options->hash_info	0
TOP.680f5ed6.0008674a	user_options->force	0
TOP.680f5ed6.0008674a	user_options->hwmon_disable	0
TOP.680f5ed6.0008674a	user_options->hwmon_temp_abort	90
TOP.680f5ed6.0008674a	user_options->hash_mode	0
TOP.680f5ed6.0008674a	user_options->hex_charset	0
TOP.680f5ed6.0008674a	user_options->hex_salt	0
TOP.680f5ed6.0008674a	user_options->hex_wordlist	0
TOP.680f5ed6.0008674a	user_options->hook_threads	4
TOP.680f5ed6.0008674a	user_options->identify	0
TOP.680f5ed6.0008674a	user_options->increment	0
TOP.680f5ed6.0008674a	user_options->increment_max	256
TOP.680f5ed6.0008674a	user_options->increment_min	1
TOP.680f5ed6.0008674a	user_options->keep_guessing	0
TOP.680f5ed6.0008674a	user_options->kernel_accel	0
TOP.680f5ed6.0008674a	user_options->kernel_loops	0
TOP.680f5ed6.0008674a	user_options->kernel_threads	0
TOP.680f5ed6.0008674a	user_options->keyspace	0
TOP.680f5ed6.0008674a	user_options->left	0
TOP.680f5ed6.0008674a	user_options->logfile_disable	0
TOP.680f5ed6.0008674a	user_options->loopback	0
TOP.680f5ed6.0008674a	user_options->machine_readable	0
TOP.680f5ed6.0008674a	user_options->markov_classic	0
TOP.680f5ed6.0008674a	user_options->markov_disable	0
TOP.680f5ed6.0008674a	user_options->markov_inverse	0
TOP.680f5ed6.0008674a	user_options->markov_threshold	256
TOP.680f5ed6.0008674a	user_options->multiply_accel_disable	0
TOP.680f5ed6.0008674a	user_options->backend_info	0
TOP.680f5ed6.0008674a	user_options->backend_vector_width	0
TOP.680f5ed6.0008674a	user_options->optimized_kernel_enable	0
TOP.680f5ed6.0008674a	user_options->outfile_autohex	1
TOP.680f5ed6.0008674a	user_options->outfile_check_timer	5
TOP.680f5ed6.0008674a	user_options->outfile_format	3
TOP.680f5ed6.0008674a	user_options->wordlist_autohex_disable	0
TOP.680f5ed6.0008674a	user_options->potfile_disable	0
TOP.680f5ed6.0008674a	user_options->progress_only	0
TOP.680f5ed6.0008674a	user_options->quiet	0
TOP.680f5ed6.0008674a	user_options->remove	0
TOP.680f5ed6.0008674a	user_options->remove_timer	60
TOP.680f5ed6.0008674a	user_options->restore	0
TOP.680f5ed6.0008674a	user_options->restore_disable	0
TOP.680f5ed6.0008674a	user_options->restore_timer	1
TOP.680f5ed6.0008674a	user_options->rp_files_cnt	0
TOP.680f5ed6.0008674a	user_options->rp_gen	0
TOP.680f5ed6.0008674a	user_options->rp_gen_func_max	4
TOP.680f5ed6.0008674a	user_options->rp_gen_func_min	1
TOP.680f5ed6.0008674a	user_options->rp_gen_seed	0
TOP.680f5ed6.0008674a	user_options->runtime	0
TOP.680f5ed6.0008674a	user_options->scrypt_tmto	0
TOP.680f5ed6.0008674a	user_options->segment_size	33554432
TOP.680f5ed6.0008674a	user_options->self_test_disable	0
TOP.680f5ed6.0008674a	user_options->slow_candidates	0
TOP.680f5ed6.0008674a	user_options->show	0
TOP.680f5ed6.0008674a	user_options->speed_only	0
TOP.680f5ed6.0008674a	user_options->spin_damp	0
TOP.680f5ed6.0008674a	user_options->status	0
TOP.680f5ed6.0008674a	user_options->status_json	0
TOP.680f5ed6.0008674a	user_options->status_timer	10
TOP.680f5ed6.0008674a	user_options->stdout_flag	0
TOP.680f5ed6.0008674a	user_options->usage	0
TOP.680f5ed6.0008674a	user_options->username	0
TOP.680f5ed6.0008674a	user_options->veracrypt_pim_start	485
TOP.680f5ed6.0008674a	user_options->veracrypt_pim_stop	485
TOP.680f5ed6.0008674a	user_options->version	0
TOP.680f5ed6.0008674a	user_options->workload_profile	2
TOP.680f5ed6.0008674a	user_options->brain_client	0
TOP.680f5ed6.0008674a	user_options->brain_client_features	2
TOP.680f5ed6.0008674a	user_options->brain_server	0
TOP.680f5ed6.0008674a	user_options->brain_server_timer	300
TOP.680f5ed6.0008674a	user_options->brain_port	6863
TOP.680f5ed6.0008674a	user_options->brain_session	0
TOP.680f5ed6.0008674a	hashes->hashfile	hello.txt
TOP.680f5ed6.0008674a	hashes->hashlist_mode	5
TOP.680f5ed6.0008674a	hashes->hashlist_format	0
TOP.680f5ed6.0008674a	hashes->hashes_cnt	0
TOP.680f5ed6.0008674a	hashes->digests_cnt	2
TOP.680f5ed6.0008674a	hashes->digests_done_pot	0
TOP.680f5ed6.0008674a	hashes->digests_done_zero	0
TOP.680f5ed6.0008674a	hashes->digests_done	0
TOP.680f5ed6.0008674a	hashes->salts_cnt	1
TOP.680f5ed6.0008674a	hashes->salts_done	0
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	START
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	straight_ctx->dict	wordlist.txt
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	runtime_start	1745837785
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	runtime_stop	1745837785
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	hashes->digests_done_new	2
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	status-after-work	6
TOP.680f5ed6.0008674a	SUB.680f5ed8.0009c19b	STOP
TOP.680f5ed6.0008674a	proc_start	1745837782
TOP.680f5ed6.0008674a	proc_stop	1745837786
TOP.680f5ed6.0008674a	STOP
